Common Name,Scientific Name,Medicinal Properties,Known Hazards,Summary,user_need_tags,effect_tags,preparation_type,warning_level,recommendation_reason
Indian Horse Chestnut,Aesculus indica - (Wall. ex Camb.)Hook.,Acrid; Anthelmintic; Antirheumatic; Astringent; Narcotic; Stomachic,"The seed is rich in saponins[20, 65]. Although poisonous, saponins are poorly absorbed by the human body and so most pass through without harm. Saponins are quite bitter and can be found in many common foods such as some beans. They can be removed by carefully leaching the seed or flour in running water. Thorough cooking, and perhaps changing the cooking water once, will also normally remove most of them. However, it is not advisable to eat large quantities of food that contain saponins. Saponins are much more toxic to some creatures, such as fish, and hunting tribes have traditionally put large quantities of them in streams, lakes etc in order to stupefy or kill the fish[K].",,"digestion,pain","acrid, anthelmintic, antirheumatic, astringent, narcotic, stomachic", , , 
Fool's Parsley,Aethusa cynapium - L.,Anticonvulsant; Antidiarrhoeal; Sedative; Stomachic,"The entire plant is poisonous though less so than Conium maculatum (q.v.)[4, 10, 19]. Small amounts can cause pain, confusion of vision and vomiting[268]. The dried plant might be safe to eat[10].",,"anxiety,digestion,relaxation,sleep,stress","anticonvulsant, antidiarrhoeal, sedative, stomachic", , , 
"African Lily, Lily of the nile",Agapanthus africanus - (L.)Hoffman.,Cardiac; Stomachic,None known,"Bloom Color: Blue. Main Bloom Time: Early fall, Late summer. Form: Irregular or sprawling, Spreading or horizontal, Upright or erect.","digestion,heart_support","cardiac, stomachic", , , 
Korean Mint,Agastache rugosa - (Fisch.&C.A.Mey.)Kuntze.,Antibacterial; Antifungal; Antipyretic; Aromatic; Cancer; Carminative; Diaphoretic; Febrifuge; Refrigerant; Stomachic,None known,,"circulation,digestion,immune_support","antibacterial, antifungal, antipyretic, aromatic, cancer, carminative, diaphoretic, febrifuge, refrigerant, stomachic", , , 
"Giant Hyssop, Nettleleaf giant hyssop",Agastache urticifolia - (Benth.)Kuntze.,Analgesic; Antirheumatic; Stomachic,None known,,"digestion,pain","analgesic, antirheumatic, stomachic", , , 
"Akebia, Chocolate vine, Fiveleaf Akebia, Chocolate Vine",Akebia quinata - (Thunb.)Decne.,Anodyne; Antiphlogistic; Bitter; Cancer; Contraceptive; Depurative; Diaphoretic; Diuretic; Emmenagogue; Febrifuge; Galactogogue; Laxative; Resolvent; Stimulant; Stomachic; Urinary; Vulnerary,None known,"Bloom Color: Purple, Red. Main Bloom Time: Early spring, Late spring, Mid spring. Form: Variable height, Variable spread.","circulation,digestion,edema,energy,focus,inflammatory,pain,skin","anodyne, antiphlogistic, bitter, cancer, contraceptive, depurative, diaphoretic, diuretic, emmenagogue, febrifuge, galactogogue, laxative, resolvent, stimulant, stomachic, urinary, vulnerary", , , 
"Wild Leek, Broadleaf wild leek",Allium ampeloprasum - L.,Anthelmintic; Antiasthmatic; Anticholesterolemic; Antiseptic; Antispasmodic; Cholagogue; Diaphoretic; Diuretic; Expectorant; Febrifuge; Stimulant; Stings; Stomachic; Tonic; Vasodilator,"Although no individual reports regarding this species have been seen, there have been cases of poisoning caused by the consumption, in large quantities and by some mammals, of certain members of this genus. Dogs seem to be particularly susceptible[76].",,"circulation,digestion,edema,energy,focus,heart_support,immune_support,respiratory_support","anthelmintic, antiasthmatic, anticholesterolemic, antiseptic, antispasmodic, cholagogue, diaphoretic, diuretic, expectorant, febrifuge, stimulant, stings, stomachic, tonic, vasodilator", , , 
"Onion, Garden onion",Allium cepa - L.,Anthelmintic; Antiinflammatory; Antiseptic; Antispasmodic; Appetizer; Carminative; Diuretic; Expectorant; Febrifuge; Homeopathy; Hypoglycaemic; Hypotensive; Lithontripic; Skin; Stings; Stomachic; Tonic,"There have been cases of poisoning caused by the consumption, in large quantities and by some mammals, of this plant. Dogs seem to be particularly susceptible[76]. Hand eczema may occur with frequent handling. May interfere with drug control of blood sugar [301].","All members of this genus are, at least theoretically, edible. Their flavours range from mild onions and leeks to pungent onion and garlic. All parts of the plants are edible. The flowers have a more robust flavour than the leaves, and the young developing seed heads are even more potent. Eat the leaves and flowers in salads for a plentiful supply throughout the year. Use cooked leaves as a flavour with other vegetables in soups or use them as a cooked green. Some favourite species are listed below. Unless stated otherwise, all members of this genus require well-drained soil and a sunny position. They do not grow well with weed competition, though there are exceptions. Allium cepa. This species includes the common onion and the charming and productive form called the Everlasting Onion. Everlasting Onions grow similarly to chives, quickly forming a large clump. The Potato Onion (A. cepa aggregatum) has strong floured leaves with a strong onion flavour. Use the flowers raw as a garnish on salads. The Egyptian Walking Onion (A. cepa proliferum) forms small edible bulbs at the top of the flowering stem. They have a strong onion flavour and are often used as pickled onions or added to salads. The Nodding Onion (A. cernuum) is an exceedingly beautiful plant, but both flowers and leaves have a delicious strong onion flavour – the flowers look lovely in a mixed salad. The Welsh Onion (A. fistulosum) is similar to the Everlasting Onion in growth habit and flavour. Daffodil Garlic (A. neapolitanum) young leaves have a delicious sweetness followed by a moderately strong garlic flavour. Chives (A. schoenoprasum) are a very productive crop supplying mild, onion-flavoured leaves in full sun to semi-shade positions. Garlic Chives (A. tuberosum) form a slowly spreading clump; leaves have a delightful flavour, like a cross between garlic and chives. Garlic (A. sativum) leaves are edible raw or cooked, chopped and used in salads; they are relatively milder than the bulbs.","digestion,edema,energy,focus,heart_support,immune_support,inflammatory,respiratory_support","anthelmintic, antiinflammatory, antiseptic, antispasmodic, appetizer, carminative, diuretic, expectorant, febrifuge, homeopathy, hypoglycaemic, hypotensive, lithontripic, skin, stings, stomachic, tonic", , , 
Potato Onion,Allium cepa aggregatum - G.Don.,Anthelmintic; Antiinflammatory; Antiseptic; Antispasmodic; Carminative; Diuretic; Expectorant; Febrifuge; Hypoglycaemic; Hypotensive; Lithontripic; Skin; Stomachic; Tonic,"There have been cases of poisoning caused by the consumption, in large quantities and by some mammals, of this plant. Dogs seem to be particularly susceptible[76].","All members of this genus are, at least theoretically, edible. Their flavours range from mild onions and leeks to pungent onion and garlic. All parts of the plants are edible. The flowers have a more robust flavour than the leaves, and the young developing seed heads are even more potent. Eat the leaves and flowers in salads for a plentiful supply throughout the year. Use cooked leaves as a flavour with other vegetables in soups or use them as a cooked green. Some favourite species are listed below. Unless stated otherwise, all members of this genus require well-drained soil and a sunny position. They do not grow well with weed competition, though there are exceptions. Allium cepa. This species includes the common onion and the charming and productive form called the Everlasting Onion. Everlasting Onions grow similarly to chives, quickly forming a large clump. The Potato Onion (A. cepa aggregatum) has strong floured leaves with a strong onion flavour. Use the flowers raw as a garnish on salads. The Egyptian Walking Onion (A. cepa proliferum) forms small edible bulbs at the top of the flowering stem. They have a strong onion flavour and are often used as pickled onions or added to salads. The Nodding Onion (A. cernuum) is an exceedingly beautiful plant, but both flowers and leaves have a delicious strong onion flavour – the flowers look lovely in a mixed salad. The Welsh Onion (A. fistulosum) is similar to the Everlasting Onion in growth habit and flavour. Daffodil Garlic (A. neapolitanum) young leaves have a delicious sweetness followed by a moderately strong garlic flavour. Chives (A. schoenoprasum) are a very productive crop supplying mild, onion-flavoured leaves in full sun to semi-shade positions. Garlic Chives (A. tuberosum) form a slowly spreading clump; leaves have a delightful flavour, like a cross between garlic and chives. Garlic (A. sativum) leaves are edible raw or cooked, chopped and used in salads; they are relatively milder than the bulbs.","digestion,edema,energy,focus,heart_support,immune_support,inflammatory,respiratory_support","anthelmintic, antiinflammatory, antiseptic, antispasmodic, carminative, diuretic, expectorant, febrifuge, hypoglycaemic, hypotensive, lithontripic, skin, stomachic, tonic", , , 
Shallot,Allium cepa ascalonicum - Invalid name,Alterative; Anthelmintic; Antiinflammatory; Antiseptic; Antispasmodic; Astringent; Carminative; Diuretic; Expectorant; Febrifuge; Hypoglycaemic; Hypotensive; Lithontripic; Nutritive; Skin; Stings; Stomachic; Tonic; Vulnerary,"There have been cases of poisoning caused by the consumption, in large quantities and by some mammals, of this plant. Dogs seem to be particularly susceptible[76].",,"digestion,edema,energy,focus,heart_support,immune_support,inflammatory,respiratory_support,skin","alterative, anthelmintic, antiinflammatory, antiseptic, antispasmodic, astringent, carminative, diuretic, expectorant, febrifuge, hypoglycaemic, hypotensive, lithontripic, nutritive, skin, stings, stomachic, tonic, vulnerary", , , 
"Tree Onion, Walking Onion",Allium cepa proliferum - (Moench) Regel.,Anthelmintic; Antiinflammatory; Antiseptic; Antispasmodic; Carminative; Diuretic; Expectorant; Febrifuge; Hypoglycaemic; Hypotensive; Lithontripic; Skin; Stomachic; Tonic,"There have been cases of poisoning caused by the consumption, in large quantities and by some mammals, of this plant. Dogs seem to be particularly susceptible[76].","All members of this genus are, at least theoretically, edible. Their flavours range from mild onions and leeks to pungent onion and garlic. All parts of the plants are edible. The flowers have a more robust flavour than the leaves, and the young developing seed heads are even more potent. Eat the leaves and flowers in salads for a plentiful supply throughout the year. Use cooked leaves as a flavour with other vegetables in soups or use them as a cooked green. Some favourite species are listed below. Unless stated otherwise, all members of this genus require well-drained soil and a sunny position. They do not grow well with weed competition, though there are exceptions. Allium cepa. This species includes the common onion and the charming and productive form called the Everlasting Onion. Everlasting Onions grow similarly to chives, quickly forming a large clump. The Potato Onion (A. cepa aggregatum) has strong floured leaves with a strong onion flavour. Use the flowers raw as a garnish on salads. The Egyptian Walking Onion (A. cepa proliferum) forms small edible bulbs at the top of the flowering stem. They have a strong onion flavour and are often used as pickled onions or added to salads. The Nodding Onion (A. cernuum) is an exceedingly beautiful plant, but both flowers and leaves have a delicious strong onion flavour – the flowers look lovely in a mixed salad. The Welsh Onion (A. fistulosum) is similar to the Everlasting Onion in growth habit and flavour. Daffodil Garlic (A. neapolitanum) young leaves have a delicious sweetness followed by a moderately strong garlic flavour. Chives (A. schoenoprasum) are a very productive crop supplying mild, onion-flavoured leaves in full sun to semi-shade positions. Garlic Chives (A. tuberosum) form a slowly spreading clump; leaves have a delightful flavour, like a cross between garlic and chives. Garlic (A. sativum) leaves are edible raw or cooked, chopped and used in salads; they are relatively milder than the bulbs.","digestion,edema,energy,focus,heart_support,immune_support,inflammatory,respiratory_support","anthelmintic, antiinflammatory, antiseptic, antispasmodic, carminative, diuretic, expectorant, febrifuge, hypoglycaemic, hypotensive, lithontripic, skin, stomachic, tonic", , , 
Welsh Onion,Allium fistulosum - L.,Antibacterial; Antifungal; Antipyretic; Diuretic; Expectorant; Stomachic; Vitamin C,"Although no individual reports regarding this species have been seen, there have been cases of poisoning caused by the consumption, in large quantities and by some mammals, of certain members of this genus. Dogs seem to be particularly susceptible[76].","All members of this genus are, at least theoretically, edible. Their flavours range from mild onions and leeks to pungent onion and garlic. All parts of the plants are edible. The flowers have a more robust flavour than the leaves, and the young developing seed heads are even more potent. Eat the leaves and flowers in salads for a plentiful supply throughout the year. Use cooked leaves as a flavour with other vegetables in soups or use them as a cooked green. Some favourite species are listed below. Unless stated otherwise, all members of this genus require well-drained soil and a sunny position. They do not grow well with weed competition, though there are exceptions. Allium cepa. This species includes the common onion and the charming and productive form called the Everlasting Onion. Everlasting Onions grow similarly to chives, quickly forming a large clump. The Potato Onion (A. cepa aggregatum) has strong floured leaves with a strong onion flavour. Use the flowers raw as a garnish on salads. The Egyptian Walking Onion (A. cepa proliferum) forms small edible bulbs at the top of the flowering stem. They have a strong onion flavour and are often used as pickled onions or added to salads. The Nodding Onion (A. cernuum) is an exceedingly beautiful plant, but both flowers and leaves have a delicious strong onion flavour – the flowers look lovely in a mixed salad. The Welsh Onion (A. fistulosum) is similar to the Everlasting Onion in growth habit and flavour. Daffodil Garlic (A. neapolitanum) young leaves have a delicious sweetness followed by a moderately strong garlic flavour. Chives (A. schoenoprasum) are a very productive crop supplying mild, onion-flavoured leaves in full sun to semi-shade positions. Garlic Chives (A. tuberosum) form a slowly spreading clump; leaves have a delightful flavour, like a cross between garlic and chives. Garlic (A. sativum) leaves are edible raw or cooked, chopped and used in salads; they are relatively milder than the bulbs.","digestion,edema,immune_support,respiratory_support","antibacterial, antifungal, antipyretic, diuretic, expectorant, stomachic, vitamin c", , , 
"Leek, Garden leek",Allium porrum - L.,Anthelmintic; Antiasthmatic; Anticholesterolemic; Antiseptic; Antispasmodic; Cholagogue; Diaphoretic; Diuretic; Expectorant; Febrifuge; Stimulant; Stings; Stomachic; Tonic; Vasodilator,"Although no individual reports regarding this species have been seen, there have been cases of poisoning caused by the consumption, in large quantities and by some mammals, of certain members of this genus. Dogs seem to be particularly susceptible[76].",,"circulation,digestion,edema,energy,focus,heart_support,immune_support,respiratory_support","anthelmintic, antiasthmatic, anticholesterolemic, antiseptic, antispasmodic, cholagogue, diaphoretic, diuretic, expectorant, febrifuge, stimulant, stings, stomachic, tonic, vasodilator", , , 
"Garlic, Cultivated garlic",Allium sativum - L.,Anthelmintic; Antiasthmatic; Anticholesterolemic; Antiseptic; Antispasmodic; Cancer; Cholagogue; Diaphoretic; Diuretic; Dysentery; Expectorant; Febrifuge; Hypoglycaemic; Stimulant; Stings; Stomachic; Tonic; Vasodilator,"There have been cases of poisoning caused by the consumption, in large quantities and by some mammals, of this species. Dogs seem to be particularly susceptible[76]. Avoid with anticlotting medication. Breastfeeding may worsen baby's colic. Avoid several weeks prior to surgery. Bad breath!! [301].","All members of this genus are, at least theoretically, edible. Their flavours range from mild onions and leeks to pungent onion and garlic. All parts of the plants are edible. The flowers have a more robust flavour than the leaves, and the young developing seed heads are even more potent. Eat the leaves and flowers in salads for a plentiful supply throughout the year. Use cooked leaves as a flavour with other vegetables in soups or use them as a cooked green. Some favourite species are listed below. Unless stated otherwise, all members of this genus require well-drained soil and a sunny position. They do not grow well with weed competition, though there are exceptions. Allium cepa. This species includes the common onion and the charming and productive form called the Everlasting Onion. Everlasting Onions grow similarly to chives, quickly forming a large clump. The Potato Onion (A. cepa aggregatum) has strong floured leaves with a strong onion flavour. Use the flowers raw as a garnish on salads. The Egyptian Walking Onion (A. cepa proliferum) forms small edible bulbs at the top of the flowering stem. They have a strong onion flavour and are often used as pickled onions or added to salads. The Nodding Onion (A. cernuum) is an exceedingly beautiful plant, but both flowers and leaves have a delicious strong onion flavour – the flowers look lovely in a mixed salad. The Welsh Onion (A. fistulosum) is similar to the Everlasting Onion in growth habit and flavour. Daffodil Garlic (A. neapolitanum) young leaves have a delicious sweetness followed by a moderately strong garlic flavour. Chives (A. schoenoprasum) are a very productive crop supplying mild, onion-flavoured leaves in full sun to semi-shade positions. Garlic Chives (A. tuberosum) form a slowly spreading clump; leaves have a delightful flavour, like a cross between garlic and chives. Garlic (A. sativum) leaves are edible raw or cooked, chopped and used in salads; they are relatively milder than the bulbs.","circulation,digestion,edema,energy,focus,heart_support,immune_support,respiratory_support","anthelmintic, antiasthmatic, anticholesterolemic, antiseptic, antispasmodic, cancer, cholagogue, diaphoretic, diuretic, dysentery, expectorant, febrifuge, hypoglycaemic, stimulant, stings, stomachic, tonic, vasodilator", , , 
Serpent Garlic,Allium sativum ophioscorodon - (Link.)Döll.,Anthelmintic; Antiasthmatic; Anticholesterolemic; Antiseptic; Antispasmodic; Cancer; Cholagogue; Diaphoretic; Diuretic; Dysentery; Expectorant; Febrifuge; Stimulant; Stings; Stomachic; Tonic; Vasodilator,"There have been cases of poisoning caused by the consumption, in large quantities and by some mammals, of this species. Dogs seem to be particularly susceptible[76].",,"circulation,digestion,edema,energy,focus,heart_support,immune_support,respiratory_support","anthelmintic, antiasthmatic, anticholesterolemic, antiseptic, antispasmodic, cancer, cholagogue, diaphoretic, diuretic, dysentery, expectorant, febrifuge, stimulant, stings, stomachic, tonic, vasodilator", , , 
"Garlic Chives, Chinese chives, Oriental Chives,",Allium tuberosum - Rottler. ex Spreng.,Antibacterial; Cardiac; Digestive; Stomachic; Tonic; Urinary,"Although no individual reports regarding this species have been seen, there have been cases of poisoning caused by the consumption, in very large quantities and by some mammals, of certain members of this genus. Dogs seem to be particularly susceptible[76].","Bloom Color: White. Main Bloom Time: Early fall, Late summer, Late fall, Mid fall. Form: Upright or erect. All members of this genus are, at least theoretically, edible. Their flavours range from mild onions and leeks to pungent onion and garlic. All parts of the plants are edible. The flowers have a more robust flavour than the leaves, and the young developing seed heads are even more potent. Eat the leaves and flowers in salads for a plentiful supply throughout the year. Use cooked leaves as a flavour with other vegetables in soups or use them as a cooked green. Some favourite species are listed below. Unless stated otherwise, all members of this genus require well-drained soil and a sunny position. They do not grow well with weed competition, though there are exceptions. Allium cepa. This species includes the common onion and the charming and productive form called the Everlasting Onion. Everlasting Onions grow similarly to chives, quickly forming a large clump. The Potato Onion (A. cepa aggregatum) has strong floured leaves with a strong onion flavour. Use the flowers raw as a garnish on salads. The Egyptian Walking Onion (A. cepa proliferum) forms small edible bulbs at the top of the flowering stem. They have a strong onion flavour and are often used as pickled onions or added to salads. The Nodding Onion (A. cernuum) is an exceedingly beautiful plant, but both flowers and leaves have a delicious strong onion flavour – the flowers look lovely in a mixed salad. The Welsh Onion (A. fistulosum) is similar to the Everlasting Onion in growth habit and flavour. Daffodil Garlic (A. neapolitanum) young leaves have a delicious sweetness followed by a moderately strong garlic flavour. Chives (A. schoenoprasum) are a very productive crop supplying mild, onion-flavoured leaves in full sun to semi-shade positions. Garlic Chives (A. tuberosum) form a slowly spreading clump; leaves have a delightful flavour, like a cross between garlic and chives. Garlic (A. sativum) leaves are edible raw or cooked, chopped and used in salads; they are relatively milder than the bulbs.","digestion,energy,focus,heart_support,immune_support","antibacterial, cardiac, digestive, stomachic, tonic, urinary", , , 
Wild Garlic,Allium ursinum - L.,Anthelmintic; Antiasthmatic; Anticholesterolemic; Antiseptic; Antispasmodic; Astringent; Cholagogue; Depurative; Diaphoretic; Disinfectant; Diuretic; Expectorant; Febrifuge; Hypotensive; Rubefacient; Stimulant; Stomachic; Tonic; Vasodilator,"There have been cases of poisoning caused by the consumption, in very large quantities and by some mammals, of this species. Dogs seem to be particularly susceptible[76].",,"circulation,digestion,edema,energy,focus,heart_support,immune_support,respiratory_support,skin","anthelmintic, antiasthmatic, anticholesterolemic, antiseptic, antispasmodic, astringent, cholagogue, depurative, diaphoretic, disinfectant, diuretic, expectorant, febrifuge, hypotensive, rubefacient, stimulant, stomachic, tonic, vasodilator", , , 
White Alder,Alnus rhombifolia - Nutt.,Astringent; Birthing aid; Diaphoretic; Emetic; Haemostatic; Skin; Stomachic; TB; Tonic,The freshly harvested inner bark is emetic but is alright once it has been dried[172].,"Bloom Color: Yellow. Main Bloom Time: Early spring, Late spring, Mid spring. Form: Oval, Pyramidal.","circulation,digestion,energy,focus","astringent, birthing aid, diaphoretic, emetic, haemostatic, skin, stomachic, tb, tonic", , , 
"Red Alder, Oregon Alder",Alnus rubra - Bong.,Anodyne; Appetizer; Astringent; Cathartic; Cytostatic; Eczema; Febrifuge; Skin; Stomachic; TB; Tonic,The freshly harvested inner bark is emetic but is alright once it has been dried[172].,"Main Bloom Time: Early spring, Late spring, Mid spring. Form: Oval, Pyramidal.","digestion,energy,focus,pain","anodyne, appetizer, astringent, cathartic, cytostatic, eczema, febrifuge, skin, stomachic, tb, tonic", , , 
Speckled Alder,Alnus rugosa - (Du Roi.)Spreng.,Alterative; Anodyne; Astringent; Cathartic; Emetic; Febrifuge; Odontalgic; Ophthalmic; Stomachic; Tonic,None known,,"digestion,energy,focus,pain","alterative, anodyne, astringent, cathartic, emetic, febrifuge, odontalgic, ophthalmic, stomachic, tonic", , , 
Sitka Alder,Alnus sinuata - (Regel.)Rydb.,Astringent; Emetic; Haemostatic; Stomachic; Tonic,The freshly harvested inner bark is emetic but is alright once it has been dried[172].,,"digestion,energy,focus","astringent, emetic, haemostatic, stomachic, tonic", , , 
"Mountain Alder, Thinleaf alder",Alnus tenuifolia - Nutt.,Anodyne; Astringent; Emetic; Febrifuge; Haemostatic; Stomachic; Tonic,The freshly harvested inner bark is emetic but is alright once it has been dried[172].,"Bloom Color: Purple, Red. Main Bloom Time: Early spring, Late spring, Mid spring. Form: Oval, Pyramidal.","digestion,energy,focus,pain","anodyne, astringent, emetic, febrifuge, haemostatic, stomachic, tonic", , , 
American Green Alder,Alnus viridis crispa - (Aiton.)Turrill.,Abortifacient; Appetizer; Astringent; Emetic; Emmenagogue; Haemostatic; Poultice; Skin; Stomachic; Tonic,None known,,"digestion,energy,focus,skin","abortifacient, appetizer, astringent, emetic, emmenagogue, haemostatic, poultice, skin, stomachic, tonic", , , 
"Aloe Vera, Barbados aloe, First Aid Plant, Medicinal Aloe",Aloe vera - (L.)Burm.f.,Cancer; Emmenagogue; Emollient; Laxative; Miscellany; Purgative; Skin; Stimulant; Stomachic; Tonic; Vermifuge; Vulnerary,"Taken by mouth may cause cramping pain in the gastrointestinal tract and diarrhoea (reduce dose). Skin rashes with long term use of gel. Rare adverse effects are on heart rhythm, kidney damage and oedema. Long term use can cause electrolytes loss esp. potassium and may therefore enhance the effect of drugs that act on the heart (e.g. digoxin) [301].","Bloom Color: Orange, Yellow. Main Bloom Time: Early summer, Early fall, Early spring, Early winter, Late summer, Late fall, Late spring, Late winter, Mid summer, Mid fall, Mid spring, Mid winter. Aloe vera, also known as the medicinal aloe, is an evergreen perennial succulent. It is stemless or short-stemmed. Leaves are fleshy and thick with serrated margins on the leaves. It grows to 0.6 - 1m (24-39 in) tall with flower spikes up to 0.9 (35 in). Flowers are pendulous with a yellow tubular corolla to 3 cm (1.2 in). It is widely used in modern herbal practice. Edible Parts are the Leaves and Seeds. Medicinal Uses for Cancer, Emmenagogue, Emollient, Laxative, Miscellany, Purgative, Skin, Stimulant, Stomachic, Tonic, Vermifuge, Vulnerary. The clear gel contained within the leaf makes an excellent treatment for wounds, burns and other skin disorders. Yellow sap at the base of the leaf and contains anthraquinones which are a useful digestive stimulant and a strong laxative. These positive effects may be due to compounds such as polysaccharides, mannans, anthraquinones and andlectins. Other Uses include: Cosmetic and Pollution. Form: Rounded, Upright or erect.","digestion,energy,focus,skin","cancer, emmenagogue, emollient, laxative, miscellany, purgative, skin, stimulant, stomachic, tonic, vermifuge, vulnerary", , , 
